component,model,family,rank,residual_fraction,residual_rms_uK,masked_corr,description
SEVEM,cptg_ripple_minus_1p0pct,cptg_perturbation,16,0.18241972153752878,18.33833810570121,0.9832207509985591,CPTG sinusoidal ripple perturbation minus 1.0 percent
SEVEM,cptg_ripple_minus_0p5pct,cptg_perturbation,17,0.18244362248973348,18.3407408269579,0.9832163162869214,CPTG sinusoidal ripple perturbation minus 0.5 percent
SEVEM,cptg_locked_pi_cmb,cptg,18,0.18248244497609348,18.34464358415418,0.9832091116723578,Locked CPTG geometric-pi CMB comparison envelope
SEVEM,cptg_ripple_plus_0p5pct,cptg_perturbation,19,0.18253615732246165,18.35004319314299,0.9831991412068815,CPTG sinusoidal ripple perturbation plus 0.5 percent
SEVEM,planck_tilt_minus_1p0pct,planck_perturbation,20,0.18254450289564975,18.350882159135917,0.9831975917701283,Planck endpoint-normalized tilt perturbation minus 1.0 percent
SEVEM,planck_ripple_plus_2p0pct,planck_perturbation,21,0.18259250359850018,18.35570758651166,0.9831886785503745,Planck sinusoidal ripple perturbation plus 2.0 percent
SEVEM,cptg_ripple_plus_1p0pct,cptg_perturbation,22,0.18260472522054724,18.356936204971387,0.9831864087380013,CPTG sinusoidal ripple perturbation plus 1.0 percent
SEVEM,cptg_tilt_minus_0p5pct,cptg_perturbation,23,0.18260848315601644,18.35731398370404,0.9831857107787209,CPTG endpoint-normalized tilt perturbation minus 0.5 percent
SEVEM,cptg_tilt_minus_1p0pct,cptg_perturbation,24,0.18273919214445233,18.370453931529795,0.9831614250235782,CPTG endpoint-normalized tilt perturbation minus 1.0 percent
SEVEM,cptg_ripple_plus_2p0pct,cptg_perturbation,25,0.18278627744703482,18.37518733530483,0.9831526721608682,CPTG sinusoidal ripple perturbation plus 2.0 percent
SEVEM,planck_tilt_minus_2p0pct,planck_perturbation,26,0.18283554371080593,18.380139987324164,0.9831435113735807,Planck endpoint-normalized tilt perturbation minus 2.0 percent
SEVEM,cptg_tilt_minus_2p0pct,cptg_perturbation,27,0.18301455302033537,18.3981354826278,0.9831102040884159,CPTG endpoint-normalized tilt perturbation minus 2.0 percent
SEVEM,observed_smoothed_spectrum_control,data_control,28,0.1913888650229591,19.239990538716963,0.9815142904437117,Observed spectrum smoothed with width=31
SEVEM,flat_dl_null,bad_null,29,0.392398382757293,39.447128602557335,0.9197953626809939,Flat D_l null matched to mean observed D_l
SEVEM,powerlaw_dl_null,smooth_null,30,0.5585700077631458,56.152073754577025,0.8294573807179481,Fitted smooth power-law D_l null
SEVEM,flat_cl_null,bad_null,31,0.776025977657315,78.0125451192483,0.6307009449818579,Flat C_l null matched to mean observed C_l
SEVEM,shuffled_spectrum_null_seed_271844,shuffled_null,32,0.9258472877498597,93.07382148103115,0.37789786949151827,Observed spectrum values shuffled across ell
SEVEM,shuffled_spectrum_null_seed_271841,shuffled_null,33,0.9366749618065933,94.16230876780655,0.3501999656262364,Observed spectrum values shuffled across ell
SEVEM,shuffled_spectrum_null_seed_271845,shuffled_null,34,0.938647590291845,94.36061368689415,0.344877806243476,Observed spectrum values shuffled across ell
SEVEM,shuffled_spectrum_null_seed_271843,shuffled_null,35,0.9390719134940286,94.4032701622037,0.343720731534575,Observed spectrum values shuffled across ell
SEVEM,shuffled_spectrum_null_seed_271831,shuffled_null,36,0.9401608720421923,94.51274127569408,0.34073088307469906,Observed spectrum values shuffled across ell
