component,mask_label,mask_threshold,galactic_cut_deg,galactic_cut_label,cptg_residual_fraction,planck_residual_fraction,cptg_minus_planck_residual_fraction,cptg_residual_rms_uK,planck_residual_rms_uK,cptg_minus_planck_residual_rms_uK,cptg_corr,planck_corr,observed_rms_uK,valid_sky_fraction,temperature_field,temperature_unit_inference,mask_field,mask_source_used
NILC,mask_ge_0.90_abs_b_gt_10deg,0.9,10.0,abs_b_gt_10deg,0.18626044505772082,0.18604107389820185,0.00021937115951897734,18.621688293441196,18.599756308086672,0.021931985354523675,0.9825004053978298,0.9825419679702256,99.97661225211002,0.7677357991536459,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,mask_ge_0.90_abs_b_gt_20deg,0.9,20.0,abs_b_gt_20deg,0.19215618725581132,0.19198187539498912,0.00017431186082220163,19.092647197686677,19.075327563546455,0.01731963414022175,0.981364356240489,0.9813984713253956,99.36004388070654,0.6435038248697916,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,mask_ge_0.90_abs_b_gt_30deg,0.9,30.0,abs_b_gt_30deg,0.19493299704025788,0.1948454989507567,8.749808950117566e-05,19.224561827760233,19.215932645133556,0.008629182626677334,0.9808165611697748,0.9808339469750373,98.62138334532428,0.4961077372233073,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,mask_ge_0.90_abs_b_gt_40deg,0.9,40.0,abs_b_gt_40deg,0.1911491718503362,0.19111965732980943,2.951452052676884e-05,18.772582677809794,18.769684084154267,0.0028985936555265823,0.9815609986653557,0.9815667458620102,98.20907146021086,0.3577562967936198,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,mask_ge_0.95_no_galactic_cut,0.95,-1.0,no_galactic_cut,0.18362925529777333,0.18338166260507932,0.0002475926926940042,18.414705666629906,18.389876580688373,0.024829085941533435,0.9829955730311228,0.9830417925094523,100.2819819574425,0.7829602559407552,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,mask_ge_0.95_abs_b_gt_10deg,0.95,10.0,abs_b_gt_10deg,0.18625724673139857,0.18603886627335828,0.00021838045804029038,18.621060381123794,18.5992278040478,0.021832577075993953,0.9825010117246898,0.9825423859741236,99.974957795748,0.7673136393229166,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,mask_ge_0.95_abs_b_gt_20deg,0.95,20.0,abs_b_gt_20deg,0.1921951981019663,0.19202169118045004,0.0001735069215162699,19.095724532005338,19.078485597784343,0.01723893422099465,0.9813567169111067,0.9813906816941966,99.35588776715632,0.6433054606119791,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,mask_ge_0.95_abs_b_gt_30deg,0.95,30.0,abs_b_gt_30deg,0.19494957311469613,0.19486237031454565,8.72028001504821e-05,19.225567638462515,19.216967859013035,0.008599779449479428,0.9808132666019551,0.9808305952790201,98.6181571536522,0.4960072835286458,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,mask_ge_0.95_abs_b_gt_40deg,0.95,40.0,abs_b_gt_40deg,0.19113435575124474,0.1911049856257481,2.937012549664164e-05,18.77119923144502,18.76831480768466,0.002884423760360022,0.9815638838361754,0.9815696024577076,98.20944621737777,0.3577435811360677,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,mask_ge_0.99_no_galactic_cut,0.99,-1.0,no_galactic_cut,0.1837367845758635,0.1834905116536511,0.0002462729222124094,18.423495356863608,18.398801292202712,0.02469406466089552,0.9829754798537566,0.9830214810130454,100.27113187700685,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
