component,ell_min,ell_max,ell_band,mask_label,mask_threshold,galactic_cut_deg,galactic_cut_label,cptg_residual_fraction,planck_residual_fraction,cptg_minus_planck_residual_fraction,cptg_residual_rms_uK,planck_residual_rms_uK,cptg_minus_planck_residual_rms_uK,cptg_corr,planck_corr,observed_band_rms_uK,valid_sky_fraction,temperature_field,temperature_unit_inference,mask_field,mask_source_used
SMICA_noSZ,2,40,2-40,mask_ge_0.90_no_galactic_cut,0.9,-1.0,no_galactic_cut,0.2298988369833577,0.22886242591793798,0.0010364110654197123,10.848979741177274,10.800071261257107,0.04890847992016667,0.9732139730583288,0.9734582232368115,47.1902332501257,0.8384526570638021,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,64,2-64,mask_ge_0.90_no_galactic_cut,0.9,-1.0,no_galactic_cut,0.20999866367833295,0.2092072301594372,0.00079143351889574,11.322894359890265,11.280221144878482,0.04267321501178323,0.9777015433416911,0.9778711997777809,53.91888768032445,0.8384526570638021,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,95,2-95,mask_ge_0.90_no_galactic_cut,0.9,-1.0,no_galactic_cut,0.19120060283482299,0.1906707991755219,0.0005298036593010813,11.670172648945655,11.637835406895073,0.032337242050582304,0.9815509488905013,0.9816540034499673,61.036275387831516,0.8384526570638021,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,30,2-30,mask_ge_0.90_abs_b_gt_10deg,0.9,10.0,abs_b_gt_10deg,0.24744660035310515,0.2461986142807652,0.001247986072339946,10.405068696110552,10.352591188656596,0.05247750745395585,0.9689001280443229,0.9692180084287887,42.04975409345923,0.7853101094563802,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,40,2-40,mask_ge_0.90_abs_b_gt_10deg,0.9,10.0,abs_b_gt_10deg,0.24029870226837047,0.2391975685642935,0.0011011337040769675,11.06091175047367,11.010226737981737,0.05068501249193247,0.9706982399100497,0.970970172469626,46.02984388205567,0.7853101094563802,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,64,2-64,mask_ge_0.90_abs_b_gt_10deg,0.9,10.0,abs_b_gt_10deg,0.22091099611501147,0.2200937933338332,0.0008172027811782778,11.696099869330729,11.65283318949022,0.04326667984050836,0.9752938402331283,0.9754785835860349,52.94485143347714,0.7853101094563802,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,95,2-95,mask_ge_0.90_abs_b_gt_10deg,0.9,10.0,abs_b_gt_10deg,0.20138746088453574,0.20085437039097712,0.0005330904935586245,12.102586577477158,12.070549956013311,0.032036621463847226,0.9795116228045203,0.9796210751525087,60.09602844347942,0.7853101094563802,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,30,2-30,mask_ge_0.90_abs_b_gt_20deg,0.9,20.0,abs_b_gt_20deg,0.2623753123473296,0.26106647322173365,0.0013088391255959286,10.709153551982753,10.655731760711879,0.05342179127087476,0.9649651009879401,0.9653200311982668,40.81616313735376,0.6452649434407552,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,40,2-40,mask_ge_0.90_abs_b_gt_20deg,0.9,20.0,abs_b_gt_20deg,0.2523810445951534,0.2512201990992214,0.0011608454959320391,11.285524391536665,11.233615777796828,0.051908613739836795,0.9676276858591079,0.967929721616797,44.716212382906456,0.6452649434407552,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,64,2-64,mask_ge_0.90_abs_b_gt_20deg,0.9,20.0,abs_b_gt_20deg,0.23385652996022935,0.23303749683324304,0.0008190331269863071,12.155489279655717,12.112917244585933,0.042572035069783354,0.9722710173279198,0.972467651983828,51.978404373497426,0.6452649434407552,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,95,2-95,mask_ge_0.90_abs_b_gt_20deg,0.9,20.0,abs_b_gt_20deg,0.21323607624001975,0.21271463925182318,0.0005214369881965664,12.624679129293188,12.593807361353146,0.03087176794004165,0.9770006845192393,0.9771143455072459,59.2051746210279,0.6452649434407552,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,30,2-30,mask_ge_0.90_abs_b_gt_30deg,0.9,30.0,abs_b_gt_30deg,0.2593150245629251,0.2579809469296214,0.0013340776333036763,10.080310610396252,10.028451228377218,0.05185938201903362,0.965791596484869,0.9661488211115162,38.872836725857255,0.49339040120442706,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,40,2-40,mask_ge_0.90_abs_b_gt_30deg,0.9,30.0,abs_b_gt_30deg,0.2528281100907864,0.25167394823126343,0.0011541618595229397,10.853720482013381,10.804173182032518,0.04954729998086371,0.9675108587805135,0.9678117302093172,42.92924737726351,0.49339040120442706,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,64,2-64,mask_ge_0.90_abs_b_gt_30deg,0.9,30.0,abs_b_gt_30deg,0.23699843401680182,0.2362371358842843,0.0007612981325175183,11.951148342681863,11.912758270812956,0.03839007186890697,0.9715099224380342,0.9716953247374405,50.42711945444583,0.49339040120442706,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,95,2-95,mask_ge_0.90_abs_b_gt_30deg,0.9,30.0,abs_b_gt_30deg,0.21740920054580162,0.21699472885815282,0.0004144716876487986,12.587886735671981,12.563889026990987,0.02399770868099438,0.9760805173452584,0.9761727432741512,57.899512550850346,0.49339040120442706,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,30,2-30,mask_ge_0.90_abs_b_gt_40deg,0.9,40.0,abs_b_gt_40deg,0.23413757411832617,0.232939059151328,0.0011985149669981598,8.946875863606644,8.901078153987479,0.045797709619165516,0.9722008573684182,0.9724887440855796,38.212046474373906,0.3554026285807292,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,40,2-40,mask_ge_0.90_abs_b_gt_40deg,0.9,40.0,abs_b_gt_40deg,0.23004829359815862,0.22903761511294518,0.0010106784852134398,9.679544660589858,9.637019209163519,0.042525451426339345,0.973178288853538,0.9734166558746744,42.07614196651158,0.3554026285807292,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,64,2-64,mask_ge_0.90_abs_b_gt_40deg,0.9,40.0,abs_b_gt_40deg,0.220825604783299,0.22026186078839985,0.0005637439948991407,11.018461626440814,10.990332680157488,0.028128946283326073,0.9753130004428374,0.9754404709257505,49.89666681657443,0.3554026285807292,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,95,2-95,mask_ge_0.90_abs_b_gt_40deg,0.9,40.0,abs_b_gt_40deg,0.20309885818548448,0.20287584164367387,0.0002230165418106167,11.66398969450586,11.651181830056874,0.01280786444898574,0.9791581906038997,0.9792044227337449,57.430109645685285,0.3554026285807292,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,30,2-30,mask_ge_0.95_no_galactic_cut,0.95,-1.0,no_galactic_cut,0.23823000595650895,0.23706126122511928,0.0011687447313896704,10.285431438846192,10.234971616390345,0.05045982245584746,0.971207797076949,0.9714937455590482,43.17437426721087,0.8376681009928385,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,40,2-40,mask_ge_0.95_no_galactic_cut,0.95,-1.0,no_galactic_cut,0.22996569247417561,0.22892923248219507,0.0010364599919805428,10.848554615377203,10.79965996196747,0.04889465340973409,0.9731981824964681,0.973442519278227,47.17466548448508,0.8376681009928385,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,64,2-64,mask_ge_0.95_no_galactic_cut,0.95,-1.0,no_galactic_cut,0.21007923969285908,0.20928795226885483,0.00079128742400425,11.323912004527354,11.281259198030083,0.0426528064972711,0.9776842317771117,0.9778539251725681,53.90305115861609,0.8376681009928385,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,95,2-95,mask_ge_0.95_no_galactic_cut,0.95,-1.0,no_galactic_cut,0.19127002211165797,0.19074033410904756,0.0005296880026104123,11.671375637942187,11.639053857554833,0.03232178038735434,0.981537423055693,0.9816404940329302,61.02041244669681,0.8376681009928385,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,30,2-30,mask_ge_0.95_abs_b_gt_10deg,0.95,10.0,abs_b_gt_10deg,0.24746723297901965,0.24621903244564555,0.0012482005333740998,10.403103460076595,10.35063122312103,0.05247223695556613,0.9688948790650073,0.9692128420139227,42.03830678851359,0.7848409016927084,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,40,2-40,mask_ge_0.95_abs_b_gt_10deg,0.95,10.0,abs_b_gt_10deg,0.2403267038737997,0.23922544881248442,0.0011012550613152816,11.059441278537454,11.008763324373426,0.050677954164028094,0.9706913153376587,0.9709633114214696,46.01836208907099,0.7848409016927084,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,64,2-64,mask_ge_0.95_abs_b_gt_10deg,0.95,10.0,abs_b_gt_10deg,0.2209433670393629,0.22012616452070224,0.0008172025186606591,11.695190318085114,11.65193335539724,0.04325696268787382,0.9752865087619718,0.9754712805529134,52.932977689262415,0.7848409016927084,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,95,2-95,mask_ge_0.95_abs_b_gt_10deg,0.95,10.0,abs_b_gt_10deg,0.2014137405829064,0.2008807724922095,0.0005329680906968892,12.101931156709982,12.069907804560968,0.03202335214901453,0.979506219971743,0.9796156621209048,60.08493324083099,0.7848409016927084,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,30,2-30,mask_ge_0.95_abs_b_gt_20deg,0.95,20.0,abs_b_gt_20deg,0.2624442544372256,0.2611355417658528,0.0013087126713727804,10.709471828179597,10.656067643297352,0.053404184882245076,0.9649463509252033,0.9653013473154236,40.80665378308448,0.6449979146321615,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,40,2-40,mask_ge_0.95_abs_b_gt_20deg,0.95,20.0,abs_b_gt_20deg,0.2524442851932676,0.25128361313611675,0.0011606720571508689,11.286163240878402,11.23427244724803,0.0518907936303723,0.9676111850606444,0.9679132568213235,44.707541041136594,0.6449979146321615,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,64,2-64,mask_ge_0.95_abs_b_gt_20deg,0.95,20.0,abs_b_gt_20deg,0.23391863762283752,0.2330998154663467,0.0008188221564908171,12.15665305965602,12.114099217109842,0.04255384254617667,0.97225607559247,0.9724527150161435,51.9695787526644,0.6449979146321615,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,95,2-95,mask_ge_0.95_abs_b_gt_20deg,0.95,20.0,abs_b_gt_20deg,0.21328397702134272,0.21276270161469912,0.0005212754066435954,12.625770865264014,12.594912926782678,0.030857938481336333,0.9769902285814259,0.9771038811644986,59.196996612645634,0.6449979146321615,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,30,2-30,mask_ge_0.95_abs_b_gt_30deg,0.95,30.0,abs_b_gt_30deg,0.2593640892528896,0.2580301245318238,0.001333964721065839,10.079886643661084,10.028043640978177,0.0518430026829062,0.9657784134959996,0.9661356806679542,38.863848394342746,0.49322764078776044,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,40,2-40,mask_ge_0.95_abs_b_gt_30deg,0.95,30.0,abs_b_gt_30deg,0.2528766241197885,0.25172264387120186,0.0011539802485866502,10.853632723838842,10.804103124840436,0.049529598998406144,0.9674981745031203,0.9677990605425524,42.92066442130863,0.49322764078776044,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,64,2-64,mask_ge_0.95_abs_b_gt_30deg,0.95,30.0,abs_b_gt_30deg,0.23704732910500562,0.23628618721000963,0.0007611418949959869,11.951306188161047,11.91293140505727,0.03837478310377662,0.9714979918599238,0.9716833967602901,50.4173838755506,0.49322764078776044,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
