masked_corr,observed_rms_uK,fit_rms_uK,residual_rms_uK,residual_fraction,amp_uK_per_template_sigma,offset_uK,valid_pixels,valid_sky_fraction,component,model,family,description,path,available_fields,temperature_field,temperature_unit_inference,temperature_scale_applied,raw_temperature_robust_std,mask_field,mask_source_used,nside,mask_threshold,rank
0.6299501374352465,100.82086786492997,63.512119567853475,78.30107320488239,0.776635580143811,63.512119567853475,6.20778106046414e-15,692358,0.8803787231445312,COMMANDER,flat_cl_null,bad_null,Flat C_l null matched to mean observed C_l,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,31
0.36983872282735536,100.82086786492997,37.28746100551105,93.67226189646615,0.9290959687230542,37.287461005511055,-2.1193586339710686e-15,692358,0.8803787231445312,COMMANDER,shuffled_spectrum_null_seed_271844,shuffled_null,Observed spectrum values shuffled across ell,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,32
0.3390512255954044,100.82086786492997,34.18343881519661,94.84903746377904,0.9407679131551278,34.18343881519661,4.445819502477477e-15,692358,0.8803787231445312,COMMANDER,shuffled_spectrum_null_seed_271841,shuffled_null,Observed spectrum values shuffled across ell,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,33
0.33668802991938124,100.82086786492997,33.94517937620545,94.93456796212273,0.9416162543780804,33.94517937620545,1.695861144344825e-14,692358,0.8803787231445312,COMMANDER,shuffled_spectrum_null_seed_271843,shuffled_null,Observed spectrum values shuffled across ell,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,34
0.33326103643383964,100.82086786492997,33.59966691882583,95.05740255225592,0.9428345992776478,33.599666918825825,4.4422860533029375e-15,692358,0.8803787231445312,COMMANDER,shuffled_spectrum_null_seed_271845,shuffled_null,Observed spectrum values shuffled across ell,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,35
0.3289658114293487,100.82086786492997,33.166618606197765,95.20936302312225,0.9443418316005228,33.166618606197765,-3.184071291136959e-15,692358,0.8803787231445312,COMMANDER,shuffled_spectrum_null_seed_271831,shuffled_null,Observed spectrum values shuffled across ell,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,36
0.32284038217942734,100.82086786492997,32.54904751317562,95.42225580556513,0.9464534260248844,32.54904751317562,-2.162688200424527e-15,692358,0.8803787231445312,COMMANDER,shuffled_spectrum_null_seed_271835,shuffled_null,Observed spectrum values shuffled across ell,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,37
0.3175309067948626,100.82086786492997,32.01374159699622,95.60317853501743,0.9482479228714566,32.01374159699622,5.303677699974833e-15,692358,0.8803787231445312,COMMANDER,shuffled_spectrum_null_seed_271842,shuffled_null,Observed spectrum values shuffled across ell,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,38
0.3142144615469378,100.82086786492997,31.67937470887393,95.71449532381406,0.9493520275191747,31.679374708873926,6.023582876655105e-15,692358,0.8803787231445312,COMMANDER,shuffled_spectrum_null_seed_271829,shuffled_null,Observed spectrum values shuffled across ell,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,39
0.3060486658021903,100.82086786492997,30.85609209508095,95.9830660984403,0.9520158686496244,30.85609209508095,1.8018204605967076e-14,692358,0.8803787231445312,COMMANDER,shuffled_spectrum_null_seed_271846,shuffled_null,Observed spectrum values shuffled across ell,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,40
0.3057368696350008,100.82086786492997,30.82465653490785,95.99316614500553,0.9521160467851544,30.82465653490785,5.311647054757726e-15,692358,0.8803787231445312,COMMANDER,shuffled_spectrum_null_seed_271840,shuffled_null,Observed spectrum values shuffled across ell,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,41
0.30568597336659953,100.82086786492997,30.819525128956048,95.99481375503204,0.9521323887395673,30.81952512895605,3.2604544362079862e-15,692358,0.8803787231445312,COMMANDER,shuffled_spectrum_null_seed_271833,shuffled_null,Observed spectrum values shuffled across ell,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,42
0.30442705619908444,100.82086786492997,30.69260000755752,96.0354710605084,0.9525356515395942,30.692600007557516,5.074740341581983e-15,692358,0.8803787231445312,COMMANDER,shuffled_spectrum_null_seed_271838,shuffled_null,Observed spectrum values shuffled across ell,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,43
0.29401775340658015,100.82086786492997,29.643125066148436,96.36458132192735,0.9557999585068766,29.643125066148432,1.452825050399856e-15,692358,0.8803787231445312,COMMANDER,shuffled_spectrum_null_seed_271828,shuffled_null,Observed spectrum values shuffled across ell,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,44
